id,data,valor,usd_brl
1,2023-01-01,,5.343
2,2023-01-02,5.3430,5.343
3,2023-01-03,5.3753,5.3753
4,2023-01-04,5.4453,5.4453
5,2023-01-05,5.4020,5.402
6,2023-01-06,5.2849,5.2849
7,2023-01-07,,5.2849
8,2023-01-08,,5.2849
9,2023-01-09,5.2961,5.2961
10,2023-01-10,5.2389,5.2389
11,2023-01-11,5.2014,5.2014
12,2023-01-12,5.1394,5.1394
13,2023-01-13,5.1140,5.114
14,2023-01-14,,5.114
15,2023-01-15,,5.114
16,2023-01-16,5.1109,5.1109
17,2023-01-17,5.1197,5.1197
18,2023-01-18,5.0903,5.0903
19,2023-01-19,5.2138,5.2138
20,2023-01-20,5.1980,5.198
21,2023-01-21,,5.198
22,2023-01-22,,5.198
23,2023-01-23,5.1916,5.1916
24,2023-01-24,5.1690,5.169
25,2023-01-25,5.1036,5.1036
26,2023-01-26,5.0945,5.0945
27,2023-01-27,5.0761,5.0761
28,2023-01-28,,5.0761
29,2023-01-29,,5.0761
30,2023-01-30,5.0953,5.0953
31,2023-01-31,5.0987,5.0987
32,2023-02-01,5.0715,5.0715
33,2023-02-02,4.9895,4.9895
34,2023-02-03,5.1024,5.1024
35,2023-02-04,,5.1024
36,2023-02-05,,5.1024
37,2023-02-06,5.1757,5.1757
38,2023-02-07,5.1689,5.1689
39,2023-02-08,5.2030,5.203
40,2023-02-09,5.2309,5.2309
41,2023-02-10,5.2520,5.252
42,2023-02-11,,5.252
43,2023-02-12,,5.252
44,2023-02-13,5.1828,5.1828
45,2023-02-14,5.1501,5.1501
46,2023-02-15,5.2237,5.2237
47,2023-02-16,5.2426,5.2426
48,2023-02-17,5.2006,5.2006
49,2023-02-18,,5.2006
50,2023-02-19,,5.2006
51,2023-02-20,,5.2006
52,2023-02-21,,5.2006
53,2023-02-22,5.1724,5.1724
54,2023-02-23,5.1324,5.1324
55,2023-02-24,5.1785,5.1785
56,2023-02-25,,5.1785
57,2023-02-26,,5.1785
58,2023-02-27,5.1954,5.1954
59,2023-02-28,5.2072,5.2072
60,2023-03-01,5.2064,5.2064
61,2023-03-02,5.2074,5.2074
62,2023-03-03,5.2031,5.2031
63,2023-03-04,,5.2031
64,2023-03-05,,5.2031
65,2023-03-06,5.1964,5.1964
66,2023-03-07,5.1895,5.1895
67,2023-03-08,5.1381,5.1381
68,2023-03-09,5.1347,5.1347
69,2023-03-10,5.1816,5.1816
